RecordNo,PHYLO,HODGES,FAMILY,SUBFAMILY,GENUS,SPECIES,DET,COUNTRY,STATE,COUNTY,LOCATION,DATE,YEAR,QUANTITY,STAGE,REARED,LEG,EXCOLLN,DEPOSITED,PHOTOS,NOTE
45375,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Jefferson,Victoria Glades Wildlife Area,617,1983,1F,,,,,"Balogh, George",,"As ""Victoria Glade …"" on JRH data card."
10568,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Lincoln,Cuivre River State Park,,,0,,,"Lill, John",,,,"Environmental Entomology:vol 28,no. 6;pp 1114-1123"
22553,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,"Lill, John T.",U.S.A.,Missouri,Lincoln,Cuivre River State Park,,1996,,,,"Lill, John",,,,"Leaf-tying on white oak, Quercus alba.  J. Lepid. Soc. 58(1), 2004, 1-6"
45377,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Arkansas,Madison,Blue Springs State Park,503,1969,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45366,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Randolph,Rudolf Bennitt Wildlife Area,716,1975,2M,L,Y,,,"Carroll, Mike",,2 male ex larvae 16 July from black oak.  Pupa 28 July. Emgd. 4 Aug. 1975.
45367,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Randolph,Rudolf Bennitt Wildlife Area,726,1975,1M,L,Y,,,"Carroll, Mike",,1 male ex larvae from shingle oak.  Pupa 26 July. Emgd. 5 Aug. 1975.
48258,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,"Winkler, George",U.S.A.,Missouri,Saint Charles,County,515,1992,1,,,"Winkler, George","Winkler, George",Milwaukee Public Museum,,Busch Wildlife Area & other places.  Collected in many places in rural areas where subdivisions are now present. Hilly and wooded but have been cleared for homes. Collected around lighted commercial signs.
45364,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Saint Louis,Kirkwood,4,1964,,,,,,,,"Proc.U.S.N.M. 116:57,1964,p. 38.  (Map)"
45365,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Saint Louis,Kirkwood,,1890,,,,"Murtfeldt, M.",,,,"U.S.D.A. Div.Ent.Bull.O.S.23:50,1891.  Larvae attacked by Carabid larvae of Plochionus timidus."
45374,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Stoddard,Otter Slough Wildlife Area,825,1983,3M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
45368,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Warren,Danial Boon State Forest,808,1975,1M,L,Y,,,"Carroll, Mike",,1 male ex larvae from white oak.  Emgd. 8 Aug. 1975.
45358,*,1019,OECOPHORIDAE,STENOMATINAE,Antaeotricha,humilis,,U.S.A.,Missouri,Washington,Washington State Park,606,1972,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,
65686,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,?,Clark National Forest,52,1975,"1M,1F",L,Y,,,"Carroll, Mike",,"Emgd. 25 May 1975 - 28 May 1975.  Larvae from Post oak.  No county specified. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65707,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Barry,Roaring River State Park,530,1981,3M,,,,,"Letsinger, Rae",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65708,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Barry,Roaring River State Park,606,1981,1M,,,,,"Letsinger, Rae",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65709,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Barry,Roaring River State Park,605,1982,"11M,3F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65713,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Barry,Roaring River State Park,605,1982,1M,,,,,"Balogh, George",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65780,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Barry,Roaring River State Park,601,1991,4M,,,,,"Letsinger, Rae",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65781,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Barry,Roaring River State Park,530,1987,1M,,,,,"Letsinger, Rae",,"(UV) [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65782,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Barry,Roaring River State Park,611,1988,"2M,1F",,,,,"Letsinger, Rae",,"(UV) [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65635,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,606,1968,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65636,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,604,1967,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65637,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,620,1979,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65638,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,531,1970,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65639,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,529,1970,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65640,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,601,1973,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65641,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,531,1975,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65642,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,605,1975,"1M,2F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65643,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,531,1969,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65644,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,604,1966,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65645,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,606,1970,"2F,2F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""male male s female female s"" on JRH data card.  [This could mean males and females without specifying a number. PEK] [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65646,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,609,1971,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65647,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Benton,Warsaw,531,1975,"1M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65683,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,602,1975,1F,,,,,"Carroll, Mike",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65684,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,531,1975,2M,,,,,"Carroll, Mike",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65685,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Columbia,703,1983,1M,,,,,"Craig, Wiltred S.",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65731,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,626,1976,5M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65732,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,630,1976,"1M,1F",,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65755,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,606,1976,1F,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65756,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,607,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65757,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,608,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65758,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,609,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65759,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,610,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65760,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,611,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65761,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,612,1976,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65762,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,613,1976,"2M,1F",,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65763,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,614,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65764,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,615,1976,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65765,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,616,1976,3M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65766,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,617,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65767,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,618,1976,3M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65768,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,619,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65769,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,620,1976,4M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65770,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,621,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65771,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,622,1976,3M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65772,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,623,1976,6M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65773,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,624,1976,4M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65774,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,519,1977,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65775,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,523,1977,6M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65776,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,525,1977,"4M,1F",,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65777,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,527,1977,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65778,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,530,1977,1F,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65779,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Ashland Wildlife Area,601,1977,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65783,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Columbia,523,1988,1M,L,Y,,,"Craig, Wiltred S.",,"Ex larva on Sugar maple. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65784,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Columbia,524,1988,1M,L,Y,,,"Craig, Wiltred S.",,"Ex larva on Sugar maple. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65785,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Columbia,526,1988,1M,L,Y,,,"Craig, Wiltred S.",,"Ex larva on Sugar maple. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65786,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Columbia,528,1988,1M,L,Y,,,"Craig, Wiltred S.",,"Ex larva on Sugar maple. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65787,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Boone,Columbia,531,1988,1M,,,,,"Craig, Wiltred S.",,"(field collected) [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65687,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Butler,Poplar Bluff,522,1958,1M,L,Y,"Buchanan, W.D.",,"Missouri University, Columbia, MO",,"Emgd. 22 May 1958.  Exlarva on Black oak. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65698,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Cape Girardeau,Trail of Tears State Park,613,1981,"1M,2F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65711,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Cape Girardeau,Trail of Tears State Park,531,1985,1M,,,,,"Balogh, George",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65712,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Cape Girardeau,Trail of Tears State Park,529,1983,1M,,,,,"Balogh, George",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65692,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Carter,Big Spring Park,619,1980,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65693,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Carter,Pinewoods Lake Campground,524,1986,"16M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65694,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Carter,Pinewoods Lake Campground,608,1984,"3M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65695,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Carter,Pinewoods Lake Campground,602,1984,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65788,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Carter,Pinewoods Lake N.F. Campground,528,1987,"3M,8F",,,,,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65721,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Dallas,Buffalo,531,1984,2M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65733,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,509,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65734,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,603,1976,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65735,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,609,1976,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65736,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,610,1976,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65737,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,612,1976,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65738,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,524,1977,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65739,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,525,1977,3M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65740,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,526,1977,2M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65741,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,527,1977,8M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65742,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,528,1977,8M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65743,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,529,1977,"6M,1F",,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65744,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,530,1977,5M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65745,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,531,1977,3M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65746,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,601,1977,"2M,1F",,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65747,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,602,1977,6M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65748,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,604,1977,"2M,1F",,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65749,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,606,1977,"4M,1F",,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65750,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,608,1977,"3M,1F",,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65751,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,610,1977,3M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65752,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,611,1977,5M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65753,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,613,1977,4M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65754,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Douglas,Vanzant,614,1977,1M,,,,,,,"Light trap collections. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65655,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Franklin,Meramec State Park,605,1972,"2M,1F",,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""MeremacState Park"" on JRH data card.  (Hatch)  5,7 June 1972. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65656,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Franklin,Meramec State Park,604,1973,4M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"As ""MeremacState Park"" on JRH data card. [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65720,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Hickory,Preston,531,1984,1M,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65648,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,"Heitzman, J.R.",U.S.A.,Missouri,Jackson,Independence,605,1968,,,,"Heitzman, J. Richard",,"Heitzman, J. Richard",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65789,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jackson,Burr Oak Woods Wildlife Area,819,1989,1M,,,,,"Heitzman, J. Richard",,"(UV) [As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65664,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jasper,Sarcoxie,623,1973,1F,,,"Letsinger, Rae",,"Letsinger, Rae, data card",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
65665,*,3725,TORTRICIDAE,TORTRICINAE,Cenopis,pettitana,,U.S.A.,Missouri,Jasper,Sarcoxie,609,1982,1F,,,,,"Letsinger, Rae",,"[As ""3725 Sparganothis pettitana"" on JRH data card. PEK]"
